Player,Batting Classification,Bowling Classification,DOB,Debut Date
HRC Came,Right-hand batsman,Right-arm off-break,1998-08-27,2021-06-11
Raihan Uddin,Left-hand batsman,Slow left-arm orthodox,1991-06-06,2021-06-13
LPJ Kimber,Right-hand batsman,Right-arm off-break,1997-02-24,2021-06-13
LW James,Right-hand batsman,Right-arm medium-fast,1998-12-27,2021-06-13
Subroto Shekhar,Right-hand batsman,Right-arm off-break,1995-05-22,2021-06-14
C McKerr,Right-hand batsman,Right-arm fast-medium,1998-01-19,2021-06-15
Tahjibul Islam,null,null,-,2021-06-16
TN Cullen,Right-hand batsman,null,1992-01-04,2021-06-18
SM Lynch,null,null,-,2021-06-18
M Frost,Right-hand batsman,Slow left-arm orthodox,2001-05-29,2021-06-18
DJA O'Halloran,Right-hand batsman,Right-arm medium pace,2000-10-27,2021-06-18
SG Budinger,Right-hand batsman,Right-arm off-break,1999-08-21,2021-06-18
LI Georgeson,Left-hand batsman,Right-arm medium pace,1999-04-14,2021-06-18
J Wilson,null,null,-,2021-06-18
Aarish Ali,Right-hand batsman,Slow left-arm orthodox,2000-12-20,2021-06-19
JG Bethell,Left-hand batsman,Slow left-arm orthodox,2003-10-23,2021-06-20
MRS Thompson,Right-hand batsman,Leg-break and googly,2001-11-12,2021-06-20
C Robinson,Right-hand batsman,Leg-break,-,2021-06-20
BBA Geddes,Right-hand batsman,null,2001-07-31,2021-06-21
Shamsul Islam,Right-hand batsman,null,1992-09-02,2021-06-23
FJ Heldreich,Right-hand batsman,Slow left-arm chinaman,2001-09-12,2021-06-23
MJ Leach,Left-hand batsman,Slow left-arm orthodox,1991-06-22,2021-06-23
Aswad Khan,Right-hand batsman,Right-arm medium pace,1994-12-23,2021-06-24
J Albin,Right-hand batsman,Right-arm medium pace,1998-06-23,2021-06-24
S Tosic,Right-hand batsman,Right-arm off-break,1986-02-18,2021-06-24
BJ Davidson,Right-hand batsman,null,1976-03-19,2021-06-24
WAE Burton,Right-hand batsman,Right-arm medium pace,1991-10-15,2021-06-24
NR Johns-Wickberg,Right-hand batsman,Right-arm medium pace,1989-08-03,2021-06-24
MR Dorgan,Left-hand batsman,Slow left-arm orthodox,1988-06-18,2021-06-24
N Zimonjic,Right-hand batsman,Right-arm medium pace,2003-11-05,2021-06-24
V Zimonjic,Right-hand batsman,Right-arm fast,2005-02-25,2021-06-24
S Gasteratos,Right-hand batsman,Right-arm medium-fast,1994-12-13,2021-06-24
Syed Amanullah,Right-hand batsman,Right-arm off-break,1988-03-10,2021-06-24
S Siriotis,Right-hand batsman,Right-arm medium-fast,1999-11-19,2021-06-24
T Zotos,Right-hand batsman,Right-arm medium pace,2005-06-05,2021-06-24
N Mourikis,Right-hand batsman,Right-arm medium pace,2001-04-06,2021-06-24
Taranjeet Singh,Right-hand batsman,Right-arm off-break,1985-12-17,2021-06-24
A Manatos,Left-hand batsman,Left-arm medium pace,2006-11-30,2021-06-25
S Thakur,Left-hand batsman,Slow left-arm orthodox,1978-05-29,2021-06-25
R MacBeth,Right-hand batsman,Right-arm medium pace,1997-11-15,2021-06-25
TJ Prest,Right-hand batsman,Right-arm off-break,2003-03-24,2021-06-25
AR Frost,Right-hand batsman,Right-arm medium-fast,1999-04-24,2021-06-25
GA Hoey,Right-hand batsman,Leg-break and googly,2001-11-05,2021-06-26
SJ Pearce,Right-hand batsman,Leg-break,1997-09-02,2021-06-29
HM Crawshaw,Left-hand batsman,Slow left-arm orthodox,2003-02-16,2021-06-30
JOI Campbell,Right-hand batsman,Left-arm medium-fast,1999-11-11,2021-06-30
HD Ward,Left-hand batsman,Right-arm off-break,1999-10-25,2021-07-01
HG Duke,Right-hand batsman,null,2001-09-06,2021-07-02
Hadisullah Tarakhel,Left-hand batsman,Left-arm medium pace,1999-08-31,2021-07-08
Bilal Muhammad,Right-hand batsman,Left-arm fast,1998-04-10,2021-07-08
A Bishnoi,Right-hand batsman,Right-arm medium pace,1988-02-19,2021-07-08
Said Hakim,Right-hand batsman,Right-arm medium pace,1994-12-31,2021-07-08
Burhan Niaz,Right-hand batsman,Right-arm medium-fast,2004-02-27,2021-07-08
Sheraz Sheikh,null,null,1987-11-15,2021-07-08
L Doneathy,Right-hand batsman,Right-arm medium pace,2001-07-26,2021-07-09
JM de Caires,Right-hand batsman,Right-arm medium pace,2002-04-25,2021-07-09
TE Albert,Right-hand batsman,null,2001-11-12,2021-07-09
OJ Carter,Right-hand batsman,null,2001-11-02,2021-07-09
RN Sidebottom,Right-hand batsman,Right-arm fast-medium,1989-08-14,2021-07-09
EO Hooper,Left-hand batsman,Slow left-arm orthodox,1996-03-22,2021-07-16
JS Rymell,Right-hand batsman,null,2001-04-04,2021-07-18
CG Benjamin,Right-hand batsman,Right-arm medium-fast,1999-04-29,2021-07-18
EN Gay,Left-hand batsman,Right-arm medium pace,2000-04-14,2021-07-18
SM Momin,Left-hand batsman,Slow left-arm orthodox,1991-01-25,2021-07-24
Iqbal Hossain,Right-hand batsman,Right-arm off-break,1994-11-24,2021-07-24
Waqar Zalmai,null,null,-,2021-07-24
Faisal Mehmood,Right-hand batsman,Right-arm medium pace,1987-08-18,2021-07-24
Maqsood Ahmad,Right-hand batsman,Right-arm medium pace,1985-03-15,2021-07-24
Ali Raza,null,null,1984-01-20,2021-07-24
Shagharai Sefat,Right-hand batsman,Right-arm medium pace,1995-12-31,2021-07-24
Adnan Razzaq,Right-hand batsman,Right-arm medium pace,1986-09-07,2021-07-25
Faizan Mumtaz,Right-hand batsman,Right-arm medium pace,1990-08-05,2021-08-05
D Abeyrathna,Right-hand batsman,null,1991-05-26,2021-08-05
Bilal Safdar,Right-hand batsman,Right-arm off-break,1994-05-16,2021-08-05
Usman Arif,Right-hand batsman,Right-arm medium-fast,1990-11-16,2021-08-05
Sher Sahak,Right-hand batsman,Right-arm medium-fast,2000-11-26,2021-08-05
V Ravi,Right-hand batsman,Right-arm medium-fast,1989-11-17,2021-08-05
Ahmadullah Shinwari,Left-hand batsman,Left-arm medium-fast,2000-07-30,2021-08-05
DA Blignaut,Right-hand batsman,Right-arm medium pace,1995-04-08,2021-08-05
Ghulam Ahmadi,Right-hand batsman,Right-arm off-break,1997-04-26,2021-08-05
Junaid Mehmood,Right-hand batsman,null,1993-09-30,2021-08-05
Wahidullah Sahak,Right-hand batsman,Right-arm medium-fast,2001-09-22,2021-08-05
Hashir Hussain,Right-hand batsman,Right-arm medium-fast,1998-01-22,2021-08-05
Usman Shahid,null,null,1992-03-20,2021-08-05
S Santhirakumaran,Right-hand batsman,null,1993-03-21,2021-08-05
Virk Ali,Right-hand batsman,null,1996-11-08,2021-08-05
Usman Khan,Right-hand batsman,Right-arm medium pace,1990-10-06,2021-08-05
Noman Amjad,Right-hand batsman,Right-arm medium-fast,2004-06-30,2021-08-05
Jubaid Ahamed,Right-hand batsman,Right-arm medium pace,1987-07-05,2021-08-05
A Johnmary,Right-hand batsman,null,1993-04-15,2021-08-05
HA Jackson,Right-hand batsman,null,1996-08-05,2021-08-05
Mobashar Ashraf,Right-hand batsman,Slow left-arm orthodox,1987-12-19,2021-08-05
Dawood Ahmadzai,Right-hand batsman,null,1994-02-25,2021-08-05
Rahmatullah Mangal,Right-hand batsman,Right-arm fast-medium,2003-04-01,2021-08-05
Mustafa Omer,Right-hand batsman,Left-arm medium-fast,1999-12-23,2021-08-06
Nooruddin Mujadady,Left-hand batsman,Left-arm medium-fast,1992-03-23,2021-08-06
Israr Khan,Right-hand batsman,Right-arm off-break,1988-08-14,2021-08-06
Azmat Ali,Right-hand batsman,Right-arm medium-fast,1987-04-01,2021-08-07
L Canessane,Right-hand batsman,null,2002-11-18,2021-08-07
Ibrahim Jabarkhel,Right-hand batsman,Right-arm medium pace,2003-04-25,2021-08-07
Husnain Kabeer,Right-hand batsman,null,1996-08-03,2021-08-08
Ahmadschah Ahmadzai,Right-hand batsman,Right-arm medium-fast,1999-12-13,2021-08-08
Rahel Khan,null,null,1986-06-08,2021-08-14
Imal Zuwak,Right-hand batsman,Right-arm medium-fast,1990-01-05,2021-08-14
A Venkatesh,Right-hand batsman,Right-arm medium pace,1989-12-30,2021-08-14
D Dey,Right-hand batsman,Right-arm medium-fast,1991-07-01,2021-08-14
Khalid Zahid,Right-hand batsman,Right-arm medium pace,1991-12-02,2021-08-14
Humayun Kabir,Right-hand batsman,null,1994-10-02,2021-08-14
W Boshoff,Right-hand batsman,null,1990-03-09,2021-08-14
Hassan Mehmood,Right-hand batsman,Right-arm medium-fast,1983-12-13,2021-08-14
L Karlsson,Right-hand batsman,Right-arm medium-fast,1996-12-07,2021-08-14
O Gholami,Right-hand batsman,Slow left-arm orthodox,1995-06-27,2021-08-14
Lemar Momand,Right-hand batsman,Left-arm medium-fast,2000-09-22,2021-08-14
S Anand,Right-hand batsman,Right-arm medium pace,1998-02-13,2021-08-14
R Gowthaman,Right-hand batsman,Right-arm off-break,1995-06-19,2021-08-14
Qudratullah Mir Afzal,Right-hand batsman,Right-arm medium-fast,1995-03-08,2021-08-14
Baz Aybui,Right-hand batsman,Right-arm medium-fast,1998-02-26,2021-08-15
Amoluk Singh,Right-hand batsman,Right-arm off-break,1975-06-23,2021-08-18
SKA Awiah,Right-hand batsman,Right-arm off-break,1989-12-31,2021-08-18
O Harvey,Right-hand batsman,null,1990-06-01,2021-08-18
Devender Singh,Right-hand batsman,null,1990-10-09,2021-08-18
MK Anafie,Right-hand batsman,Right-arm medium pace,1988-08-23,2021-08-18
JK Theodore,Right-hand batsman,null,1999-10-09,2021-08-18
E Dusingizimana,Right-hand batsman,null,1987-03-21,2021-08-18
D Ndikubwimana,Right-hand batsman,null,2003-09-28,2021-08-18
E Niyomugabo,Right-hand batsman,Right-arm off-break,1995-02-07,2021-08-18
O Tuyisenge,Right-hand batsman,null,2000-04-12,2021-08-18
M Akayezu,Right-hand batsman,Right-arm medium pace,2002-10-24,2021-08-18
B Tuyizere,Right-hand batsman,null,1994-04-19,2021-08-18
C Rubagumya,Right-hand batsman,Right-arm medium pace,1995-11-28,2021-08-18
Z Bimenyimana,Right-hand batsman,Right-arm medium pace,1998-07-28,2021-08-18
K Irakoze,Right-hand batsman,Right-arm off-break,2000-05-26,2021-08-18
W Niyitanga,Right-hand batsman,null,2001-07-10,2021-08-18
Y Mitari,Right-hand batsman,Right-arm medium pace,1995-12-12,2021-08-18
J Shaju,Right-hand batsman,Right-arm medium pace,1989-03-11,2021-08-19
Azhar Andani,Right-hand batsman,Right-arm medium pace,1994-02-04,2021-08-19
ARA Chambers,Right-hand batsman,Right-arm medium-fast,1994-08-11,2021-08-19
Amir Zaib,Right-hand batsman,Right-arm medium pace,1980-12-15,2021-08-19
Amandeep Singh,Right-hand batsman,Right-arm off-break,1995-07-01,2021-08-19
Junaid Khan,Right-hand batsman,Right-arm medium pace,1985-06-07,2021-08-19
Sirajullah Khadim,Left-hand batsman,Left-arm fast-medium,1988-06-10,2021-08-19
M Stoman,Right-hand batsman,Right-arm medium pace,1996-03-08,2021-08-19
D Uwimana,null,null,1997-09-01,2021-08-20
P Vekaria,Right-hand batsman,Right-arm medium pace,1992-03-05,2021-08-20
KF Bakiweyem,Right-hand batsman,Right-arm medium pace,1982-12-04,2021-08-20
S Samal,Right-hand batsman,null,1982-11-10,2021-08-20
L Bruce,null,null,-,2021-08-20
P Hatchman,null,null,-,2021-08-20
J Marples,null,null,-,2021-08-20
CV Harrison,Right-hand batsman,Right-arm fast-medium,1983-12-29,2021-08-20
MB Tambe,Right-hand batsman,Right-arm medium pace,1985-09-25,2021-08-21
Naveed Shahid,Right-hand batsman,Left-arm medium pace,1991-07-12,2021-08-21
Raaz Mohammad,Right-hand batsman,Right-arm medium pace,1992-01-25,2021-08-21
R Cunningham,null,null,-,2021-08-21
M Pathirana,Right-hand batsman,Right-arm medium pace,2002-12-18,2021-08-22
Adnan Syed,null,null,-,2021-08-22
Zulfiqar Ali Shah,Left-hand batsman,null,1982-06-15,2021-08-22
R Bhardwaj,Right-hand batsman,Right-arm medium pace,1986-02-25,2021-08-22
Arslan Naseem,Right-hand batsman,Right-arm medium pace,1999-10-28,2021-08-22
N Smith,Right-hand batsman,Right-arm medium pace,1995-10-22,2021-08-28
JM James,Right-hand batsman,Right-arm medium pace,2001-02-21,2021-09-01
A Halbhavi,Right-hand batsman,null,1990-06-04,2021-09-02
O Rassol,Right-hand batsman,Right-arm off-break,1997-09-12,2021-09-02
V Hristov,Right-hand batsman,Right-arm medium-fast,2000-02-29,2021-09-02
M Kadyan,Right-hand batsman,Right-arm medium-fast,1994-01-01,2021-09-02
Zeeshan Kukikhel,Right-hand batsman,Right-arm medium-fast,1985-10-03,2021-09-02
AD Ahuja,Right-hand batsman,Right-arm medium pace,1987-01-16,2021-09-02
H Mandhyan,Right-hand batsman,Right-arm off-break,1990-10-20,2021-09-02
Zahir Mohammed,Right-hand batsman,Right-arm medium pace,1990-12-25,2021-09-02
A Raj,Right-hand batsman,Right-arm medium-fast,1981-06-25,2021-09-02
K Deldar,Right-hand batsman,Right-arm medium pace,1990-04-07,2021-09-02
AG Weligamage,Right-hand batsman,Right-arm medium-fast,1984-02-26,2021-09-02
Ali Yalmaz,Right-hand batsman,Right-arm medium-fast,1998-07-17,2021-09-02
S Ashwathnarayana,Right-hand batsman,Right-arm medium pace,1986-02-08,2021-09-02
NG Liyanage,Right-hand batsman,Right-arm medium pace,1980-02-12,2021-09-02
SA Mohandas,Right-hand batsman,Right-arm medium-fast,1988-08-23,2021-09-02
V Jagannivasan,Right-hand batsman,Right-arm medium-fast,1989-02-27,2021-09-02
KD Mehta,Right-hand batsman,Right-arm off-break,1992-05-06,2021-09-02
B George,Right-hand batsman,Right-arm medium-fast,1998-03-11,2021-09-02
A Dhingra,Right-hand batsman,Right-arm medium-fast,1998-06-29,2021-09-02
G Motie,Left-hand batsman,Slow left-arm orthodox,1995-03-29,2021-09-02
A Kheterpal,Right-hand batsman,Right-arm medium pace,1981-06-25,2021-09-03
Sanjay Kumar,Right-hand batsman,Right-arm medium-fast,1987-03-22,2021-09-03
M des Fontaine,Right-hand batsman,Right-arm medium pace,2005-11-01,2021-09-03
A Harikumar,Right-hand batsman,Right-arm medium-fast,1997-01-05,2021-09-04
KSA McKenzie,Left-hand batsman,Right-arm off-break,2000-11-09,2021-09-05
LJA Julien,Left-hand batsman,null,2001-09-09,2021-09-07
K Alleyne,Right-hand batsman,Right-arm medium pace,2001-01-01,2021-09-09
PK Langat,Right-hand batsman,Right-arm medium pace,1993-10-19,2021-09-10
Zahid Abbas,Right-hand batsman,Right-arm off-break,1993-09-06,2021-09-10
P Aho,Right-hand batsman,Right-arm medium-fast,2003-03-02,2021-09-11
Mustapha Yusuf,Right-hand batsman,Right-arm medium pace,1996-09-15,2021-09-11
P Useni,Left-hand batsman,Left-arm medium pace,2006-03-27,2021-09-11
OE Isesele,null,null,-,2021-09-11
V Patel,null,null,-,2021-09-11
C Rumistrzewicz,Right-hand batsman,Slow left-arm orthodox,2005-05-03,2021-09-11
S Ssesazi,Right-hand batsman,Right-arm slow,1996-06-06,2021-09-13
OE Olaleye,Right-hand batsman,Right-arm off-break,2001-05-31,2021-09-13
G Mubiru,Right-hand batsman,Slow left-arm chinaman,2001-12-28,2021-09-15
CJ Olphert,Right-hand batsman,Right-arm fast-medium,1996-12-28,2021-09-18
L McCarthy,Left-hand batter,Right-arm medium-fast,-,2021-09-19
T Mayes,null,null,-,2021-09-19
ML Topping,Right-hand batsman,Right-arm off-break,1999-03-25,2021-09-19
C Robertson,null,null,-,2021-09-19
TS Lawson,null,null,1988-09-24,2021-09-19
Zaman Khan,Right-hand batsman,Right-arm medium-fast,2001-09-10,2021-09-23
Faisal Akram,Left-hand batsman,Slow left-arm orthodox,2003-08-20,2021-09-24
JL Woolf,Right-hand batsman,Right-arm medium pace,2000-02-10,2021-09-24
RCG Meyer,Left-hand batsman,Right-arm fast-medium,1994-06-30,2021-09-24
HB America,Right-hand batsman,Right-arm fast-medium,1994-02-17,2021-09-24
PKK Moletsane,Right-hand batsman,Right-arm off-break,2001-07-09,2021-09-24
SF Majiza,Left-hand batsman,Right-arm fast-medium,1999-11-03,2021-09-24
JGN Xaba,Right-hand batsman,Right-arm medium pace,1995-10-12,2021-09-24
JJ van Briesies,Right-hand batsman,Right-arm off-break,2001-07-15,2021-09-26
H Viljoen,Right-hand batsman,null,2001-06-05,2021-09-26
O Motlhoaring,Right-hand batsman,Right-arm medium pace,2001-08-23,2021-09-26
D Smith,Left-hand batsman,Left-arm medium pace,2002-03-19,2021-09-26
YM Kamanzi,Left-hand batsman,Slow left-arm orthodox,1999-05-19,2021-09-26
J Alder,Right-hand batsman,null,1998-07-14,2021-09-28
A Mkatu,Right-hand batsman,Right-arm medium pace,2001-08-01,2021-09-28
Sarmad Bhatti,Right-hand batsman,null,1994-05-28,2021-09-30
J Pretorius,Right-hand batsman,null,1999-11-08,2021-09-30
KPZ Dilima,Right-hand batsman,Right-arm medium-fast,1999-04-30,2021-10-04
KJ Jacobs,Right-hand batsman,Leg-break,1998-04-20,2021-10-04
N Shikwambana,Right-hand batsman,Right-arm medium pace,1997-12-05,2021-10-04
M Venter,Right-hand batsman,Right-arm fast,1998-01-10,2021-10-04
J Scheepers,Left-hand batsman,Left-arm fast,2000-05-05,2021-10-04
NX Peter,Right-hand batsman,Leg-break and googly,2002-01-12,2021-10-04
Waseem Muhammad,Right-hand batsman,Right-arm medium pace,1994-02-12,2021-10-05
K Patel,Right-hand batsman,Leg-break and googly,2003-05-14,2021-10-05
J Bossr,Left-hand batsman,Left-arm medium pace,1998-09-22,2021-10-05
T Filer,null,null,1981-08-04,2021-10-05
Habib Khan,Right-hand batsman,Right-arm medium pace,1993-10-11,2021-10-05
Ali Masood,Right-hand batsman,Right-arm medium pace,1992-08-16,2021-10-05
S Hook,Right-hand batsman,Leg-break,1978-07-28,2021-10-05
Maidul Islam,Right-hand batsman,Right-arm off-break,1990-02-12,2021-10-05
M Vaik,Right-hand batsman,null,1990-08-23,2021-10-05
MMR Obili,Right-hand batsman,Right-arm medium pace,1981-06-24,2021-10-05
M Rahman,Right-hand batsman,Right-arm medium-fast,1980-10-28,2021-10-05
T Cross,Right-hand batsman,Right-arm medium pace,1980-04-30,2021-10-05
K Vislapuu,Right-hand batsman,Right-arm medium-fast,1990-03-26,2021-10-05
A Rana,Right-hand batsman,Right-arm fast,1993-04-02,2021-10-05
Gurpratap Singh,null,null,1984-09-26,2021-10-05
CPPM Sadun,Left-hand batsman,Right-arm medium pace,1990-07-31,2021-10-05
BLCS Kumara,Left-hand batsman,Right-arm medium pace,1985-07-05,2021-10-05
R Mazumder,Right-hand batsman,Right-arm off-break,1993-08-22,2021-10-05
NK Tiwari,Right-hand batsman,Leg-break and googly,1993-11-21,2021-10-05
M Kyriacou,null,null,1981-11-15,2021-10-05
SN Pathirana,Right-hand batsman,null,1983-12-05,2021-10-05
Yasir Mehmood,Right-hand batsman,Right-arm medium-fast,1993-05-10,2021-10-05
Tejwinder Singh,Right-hand batsman,Right-arm medium-fast,1991-09-18,2021-10-05
Waqar Ali,Right-hand batsman,Right-arm medium-fast,1998-08-16,2021-10-05
Qasim Anwar,Right-hand batsman,Right-arm medium-fast,1989-10-05,2021-10-05
A Ummat,Right-hand batsman,Right-arm medium-fast,1985-08-08,2021-10-05
Ali Raza,Right-hand batsman,null,1995-05-04,2021-10-05
M Sedgwick,Right-hand batsman,Right-arm medium pace,1972-10-03,2021-10-05
A Shuvo,Right-hand batsman,Left-arm medium pace,1994-12-24,2021-10-05
Saqib Naveed,Right-hand batsman,Left-arm fast-medium,1992-01-22,2021-10-05
Iftekar Jaman,Right-hand batsman,Right-arm medium-fast,1992-01-07,2021-10-05
S Austin,Right-hand batsman,Right-arm medium-fast,1998-02-22,2021-10-05
RG Terblanche,Right-hand batsman,Right-arm medium pace,2001-03-14,2021-10-06
H Hanabe,Right-hand batsman,null,2001-06-12,2021-10-06
AS Bux,Right-hand batsman,null,1995-07-16,2021-10-06
AM Mokgoloboto,Right-hand batsman,null,2000-04-06,2021-10-06
Zeeshan Sarwar,Right-hand batsman,null,1997-01-02,2021-10-06
EF Beard,Right-hand batsman,null,2001-01-12,2021-10-06
C Smith,Right-hand batsman,Right-arm medium pace,1991-12-15,2021-10-06
ADL Stokoe,null,null,1992-07-26,2021-10-06
D Jansen,Left-hand batsman,Left-arm medium pace,2006-03-10,2021-10-06
Aamer Azmat,Right-hand batsman,Right-arm off-break,1998-11-26,2021-10-07
Hidayatullah,Right-hand batsman,null,2000-03-10,2021-10-07
SM Sharma,Right-hand batsman,Right-arm medium pace,2001-07-22,2021-10-07
Aamer Jamal,Right-hand batsman,Right-arm medium pace,1996-07-05,2021-10-08
Akif Raja,Left-hand batsman,Right-arm medium-fast,1992-11-24,2021-10-08
KP Meiyappan,Right-hand batsman,Leg-break,2000-10-08,2021-10-08
KV Morea,Right-hand batsman,Left-arm medium pace,1993-09-30,2021-10-08
CN Greaves,Right-hand batsman,Leg-break,1990-10-12,2021-10-08
E Botha,Left-hand batsman,Right-arm off-break,1999-04-26,2021-10-08
HW Pieterse,Left-hand batsman,Right-arm medium pace,2002-01-11,2021-10-08
CJ Seleka,Right-hand batsman,Right-arm medium pace,2002-11-22,2021-10-08
J Smith,Right-hand batsman,null,2003-02-03,2021-10-08
E Cunningham,Right-hand batsman,Right-arm medium pace,2003-07-28,2021-10-08
DT Brevis,Right-hand batsman,Leg-break,2003-04-29,2021-10-08
A Simelane,Right-hand batsman,Right-arm fast,2003-06-03,2021-10-08
G van Heerden,Right-hand batsman,Right-arm medium pace,2003-09-11,2021-10-08
MJ Copeland,Right-hand batsman,Right-arm medium pace,2002-04-10,2021-10-08
SV Kitime,Right-hand batsman,Right-arm medium pace,2003-04-19,2021-10-08
K Solomons,null,null,-,2021-10-08
L Alder,Right-hand batsman,Slow left-arm orthodox,2003-10-07,2021-10-08
J Stephenson,Right-hand batsman,Right-arm fast,2003-09-21,2021-10-08
A Tshaka,null,null,-,2021-10-08
DL Rossouw,Right-hand batsman,null,1995-05-16,2021-10-08
R Brar,Right-hand batsman,Right-arm medium-fast,1989-09-18,2021-10-08
Murtaza Yamin,Right-hand batsman,Right-arm medium pace,1980-06-07,2021-10-08
Niaz Khan,Right-hand batsman,Right-arm medium-fast,2001-12-12,2021-10-09
A Mnyanda,Right-hand batsman,Left-arm fast,-,2021-10-09
S Zwane,Right-hand batsman,Right-arm medium-fast,2000-07-22,2021-10-09
Sharoon Siraj,null,null,1997-09-14,2021-10-10
Yousuf Babar,Left-hand batsman,null,1997-10-12,2021-10-10
M van Lingen,Left-hand batsman,null,1997-10-24,2021-10-10
GJ Maree,Left-hand batsman,null,2003-12-01,2021-10-10
JH Coetzer,null,null,-,2021-10-10
J Prodehl,Right-hand batsman,Slow left-arm orthodox,-,2021-10-10
OT Modimokoane,Right-hand batsman,Slow left-arm orthodox,2001-07-10,2021-10-10
Mohammad Ibrahim,Right-hand batsman,null,2002-06-06,2021-10-11
Mohammad Afzal,Right-hand batsman,null,1996-01-25,2021-10-11
Aaqib Liaquat,Right-hand batsman,Leg-break and googly,2001-05-28,2021-10-11
Athar Mahmood,Right-hand batsman,null,1999-06-25,2021-10-11
ZM Tribe,Right-hand batsman,Leg-break and googly,2001-08-16,2021-10-15
AM Tribe,Right-hand batsman,Right-arm off-break,2004-03-29,2021-10-15
S Thanikaithasan,Right-hand batsman,Leg-break,1998-09-09,2021-10-15
Shakerullah Safi,Right-hand batsman,Right-arm off-break,2005-12-11,2021-10-15
DKD Warnakulasuriya,Left-hand batsman,Slow left-arm orthodox,2001-11-01,2021-10-15
Aziz Sualley,Right-hand batsman,Leg-break and googly,1998-10-02,2021-10-16
C Forbes,null,null,1988-07-21,2021-10-16
Muhammad Amin,Right-hand batsman,Right-arm medium pace,1975-03-11,2021-10-16
Naeem Gull,Right-hand batsman,null,1981-05-15,2021-10-16
J Ghadiyali,Right-hand batsman,Right-arm off-break,1996-12-21,2021-10-16
JJ Wright,null,null,1986-02-17,2021-10-16
S Patel,null,null,1995-12-03,2021-10-16
Umair Qasim,Right-hand batsman,Right-arm off-break,1994-12-20,2021-10-16
J Hansrod,Right-hand batsman,Right-arm medium pace,1973-05-27,2021-10-16
S Kubheka,Right-hand batsman,Right-arm medium-fast,1998-02-28,2021-10-16
M Magagula,null,null,1994-11-26,2021-10-16
JF Chester,null,null,1986-11-03,2021-10-16
AAA Patel,null,null,1996-05-28,2021-10-16
CF Tlali,Right-hand batsman,null,1997-04-28,2021-10-16
Maaz Khan,null,null,1997-04-28,2021-10-16
YYM Jakda,Right-hand batsman,Right-arm medium-fast,1998-11-07,2021-10-16
SAS Patel,null,null,-,2021-10-16
SAH Patel,null,null,-,2021-10-16
Omar Hussain,Right-hand batsman,null,1995-06-15,2021-10-16
MJ Matsau,Right-hand batsman,Right-arm medium-fast,1999-06-15,2021-10-16
M Leporoporo,null,null,1998-07-27,2021-10-16
L Monanthane,Right-hand batsman,Right-arm medium-fast,1998-10-19,2021-10-16
TD Chaoana,Right-hand batsman,Right-arm medium pace,2001-10-06,2021-10-16
T Rajiv,Right-hand batsman,null,1991-07-25,2021-10-16
N Krishna,Right-hand batsman,Slow left-arm orthodox,1979-12-27,2021-10-16
SKDT Madusanka,Right-hand batsman,Right-arm medium-fast,1983-03-05,2021-10-16
SR Mohan,Right-hand batsman,null,1989-05-16,2021-10-16
D Kalvin,Right-hand batsman,Right-arm medium-fast,1987-05-13,2021-10-16
Mazharul Islam,Right-hand batsman,null,1994-01-01,2021-10-16
S Udhayan,Right-hand batsman,Right-arm medium-fast,1989-07-25,2021-10-16
VL Mukesh,Right-hand batsman,Right-arm medium pace,1983-10-03,2021-10-16
R Nil,Right-hand batsman,Right-arm medium-fast,1990-12-16,2021-10-16
SR Rocket,Right-hand batsman,Right-arm medium-fast,1992-04-02,2021-10-16
KJ Patel,Right-hand batsman,Right-arm off-break,1974-04-14,2021-10-16
A Kansonkho,Right-hand batsman,Right-arm medium pace,1994-07-19,2021-10-16
L Nakomo,Right-hand batsman,null,2003-08-29,2021-10-16
M Choamba,Right-hand batsman,Right-arm off-break,2004-07-10,2021-10-16
Fayaz Khan,Right-hand batsman,Right-arm medium pace,1997-03-15,2021-10-16
KH Prajapati,Right-hand batsman,Right-arm off-break,1995-10-11,2021-10-17
B Pondani,Right-hand batsman,Right-arm medium-fast,2002-04-17,2021-10-17
TG Thamae,Right-hand batsman,null,1998-07-25,2021-10-17
R Baaleri,Right-hand batsman,Right-arm off-break,2002-08-16,2021-10-17
T Letsitsa,Right-hand batsman,null,1995-02-12,2021-10-17
D Birrell,Right-hand batsman,Right-arm fast-medium,2000-04-04,2021-10-17
Amir Sharif,Right-hand batsman,Right-arm medium pace,1992-06-08,2021-10-17
R Agamiire,Right-hand batsman,Right-arm medium pace,1999-05-19,2021-10-19
M Jele,Right-hand batsman,Right-arm medium-fast,1998-01-21,2021-10-19
A Shreshta,Right-hand batsman,null,1996-03-03,2021-10-19
S Mba,Right-hand batsman,null,2002-11-20,2021-10-19
AL Kerai,Left-hand batsman,null,1986-11-07,2021-10-19
J Bangura,Right-hand batsman,Right-arm off-break,2005-08-17,2021-10-19
S Conteh,Right-hand batsman,Right-arm medium pace,2003-09-21,2021-10-19
L Lamin,Right-hand batsman,Right-arm fast-medium,1986-01-17,2021-10-19
AB Kamara,Right-hand batsman,Right-arm fast-medium,1990-11-28,2021-10-19
E Ernest,Right-hand batsman,Right-arm medium pace,2003-11-14,2021-10-19
S Tarawally,Right-hand batsman,Right-arm medium pace,1994-10-20,2021-10-19
G Sesay,Right-hand batsman,Right-arm medium pace,2006-12-12,2021-10-19
